name_group,exp1_msspe,exp1_ngs,exp2_msspe,exp3_msspe,exp3_ngs
EV-G,2118.6444135993347,1012.6743312286221,1127.783190851634,185.8441885761215,155.90011296422088
HPV18,65.1081343776718,24.37623538482623,17.424900928180577,0,0
PAstV,2648.538042199608,1150.924006234845,1455.0534926768112,1964.3907211874,1967.657258689522
PBoV,208.31446144856474,210.5300124540304,390.3028205643092,6771.914630872792,2956.8535918977186
PCV,66.83174457050659,88.36093371704933,282.69315171658104,429.8618220979849,209.4652915838413
PKV,574.2335477883086,396.98077530243,506.5526797684414,13.895851980915943,1.4821482675475464
PSapeV,66.86146646349569,67.6274058255915,68.92297188816768,137.09367681141262,124.14797585814428
PSapoV,577.3396368720053,351.87524110734597,433.76581048713825,332.7733154176686,251.4437219644725
PTeV,103.36028832453462,155.58625753035955,81.05723619298388,336.57659391656205,222.53786451642983
