name_group,mcnemar,p_value,b,c,odds_ratio,log_or,se_log_or,ci_lower,ci_upper
EV-G,,0.31049443431723495,21,14,1.5,0.4054651081081644,0.3450327796711771,0.7627696909032338,2.9497763569179876
HPV18,,1,10,9,1.1111111111111112,0.10536051565782635,0.45946829173634074,0.4514921304144162,2.734417319968304
PAstV,,0.13162821884536183,108,86,1.255813953488372,0.22778393087071197,0.14452392963105953,0.9460281332513144,1.667042057571816
PBoV,,0.028590893764117796,62,39,1.5897435897435896,0.4635727389154451,0.20437724408331315,1.0650197467216274,2.372993260369482
PCV,,0.28119809956417924,19,12,1.5833333333333333,0.45953232937844013,0.3687342027541,0.768598380432226,3.261709246687001
PKV,,0.1814492077214203,10,4,2.5,0.9162907318741551,0.5916079783099616,0.7840669196222492,7.971258375511046
PSapeV,,1,17,16,1.0625,0.06062462181643484,0.34831527300961795,0.5368302656598607,2.1029109612744574
PSapoV,,0.5595836997752427,26,21,1.2380952380952381,0.2135741002980591,0.29339493192723365,0.6966445523180725,2.200375806418745
PTeV,,0.3888854118077651,37,29,1.2758620689655173,0.2436220826577505,0.248011664338024,0.7846788293965546,2.07450992436845
